City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
San Matias,0,BO,1562898082,70.78,4.63,-16.36,-58.4,45
Nelson Bay,0,AU,1562898082,66.99,23.04,-32.72,152.14,42
Campbell River,75,CA,1562898082,69.8,2.24,50.02,-125.24,68
Zhezkazgan,0,KZ,1562898083,66.2,6.71,47.8,67.71,34
Nishihara,90,JP,1562898083,73,6.93,35.74,139.53,94
Cabo San Lucas,5,MX,1562897969,89.6,10.29,22.89,-109.91,48
De-Kastri,100,RU,1562898083,60.97,4.59,51.48,140.77,85
Los Llanos de Aridane,10,ES,1562898083,71.6,2.24,28.66,-17.92,60
Tosya,30,TR,1562898084,52.2,2.77,41.02,34.04,88
Kontagora,100,NG,1562898084,70.31,5.39,10.4,5.47,92
Xining,1,CN,1562898084,56,5.97,36.62,101.77,62
Lulea,0,SE,1562898135,48.2,2.24,65.58,22.15,87
Chegdomyn,100,RU,1562898135,84.89,1.07,51.13,133.04,46
Jalu,0,LY,1562898135,79.71,4.52,29.03,21.55,35
Katangli,100,RU,1562898135,56.81,5.59,51.71,143.23,72
Te Anau,100,NZ,1562898136,44.75,3.87,-45.41,167.72,82
Jambi,62,ID,1562898136,84.17,5.17,-1.6,103.62,65
Hof,90,DE,1562898136,59,3.36,50.32,11.92,100
Yilan,100,CN,1562898136,68.69,3.62,43.11,129.52,78
Houston,90,US,1562897862,91.99,12.75,29.76,-95.37,55
Hibbing,1,US,1562898061,73.4,8.16,47.43,-92.94,63
Sorsk,8,RU,1562898137,60.61,11.86,54,90.25,61
Two Hills,0,CA,1562898137,60.14,4.05,53.71,-111.75,85
Pitimbu,0,BR,1562898137,73.4,2.24,-7.47,-34.81,94
Sabzevar,0,IR,1562898137,81.63,3.29,36.21,57.68,17
Pokrovsk,0,RU,1562898138,85.93,2.66,61.48,129.14,43
Egvekinot,9,RU,1562898138,78.86,10.65,66.32,-179.17,26
Sri Aman,75,MY,1562898138,77,2.24,1.24,111.46,88
Nouakchott,0,MR,1562898138,75.2,11.41,18.08,-15.98,83
Aasiaat,0,GL,1562898139,42.05,8.41,68.71,-52.87,88
Semenyih,75,MY,1562898139,84.2,6.93,2.95,101.84,79
Kavaratti,52,IN,1562898139,82.98,12.28,10.57,72.64,82
Provideniya,40,RU,1562898139,51.8,11.18,64.42,-173.23,87
Sabang,11,PH,1562898140,91.41,3.51,13.8,121.11,52
Sao Felix do Xingu,0,BR,1562898140,70.96,1.77,-6.64,-51.99,76
Grimshaw,90,CA,1562898140,68,11.41,56.19,-117.61,82
Yar-Sale,97,RU,1562898140,62.98,15.79,66.83,70.83,74
Vostok,100,RU,1562898140,81.88,3.36,46.45,135.83,35
Lengshuitan,99,CN,1562898141,81.11,7.76,26.41,111.6,87
Port Blair,40,IN,1562898141,82.4,5.82,11.67,92.75,83
Oda,75,JP,1562898141,71.6,12.75,35.19,132.5,88
Liverpool,90,GB,1562898141,61,3.36,53.41,-2.98,93
Palu,33,ID,1562898141,83.85,5.93,-0.9,119.87,64
Yuanping,0,CN,1562898142,73.44,5.97,38.72,112.71,40
Kaupanger,29,NO,1562898142,55.99,3.15,61.18,7.24,98
Nioro,100,GM,1562898142,78.12,8.88,13.79,-15.05,69
Murindo,100,CO,1562898142,73.61,2.21,6.98,-76.75,98
Grand Gaube,20,MU,1562898143,68,5.82,-20.01,57.66,82
Faya,40,SA,1562898143,71.6,3.85,18.39,42.45,52
Gordeyevka,76,RU,1562898143,52.24,1.03,52.96,31.97,86
Eyl,100,SO,1562898143,77.71,27,7.98,49.82,59
Thinadhoo,27,MV,1562898144,84.13,10.69,0.53,72.93,75
Wanlaweyn,100,SO,1562898144,73.97,7.72,2.62,44.89,88
Laguna,40,BZ,1562898144,80.6,4.7,16.17,-88.94,83
Iskateley,81,RU,1562898144,49.47,14.74,67.68,53.15,76
Putyatino,14,RU,1562898145,52.78,3.98,54.16,41.12,93
Beloha,0,MG,1562898145,57.96,5.12,-25.17,45.06,89
Sayyan,22,YE,1562898195,73.53,0.83,15.17,44.32,52
Edson,41,CA,1562898195,66.2,1.74,53.59,-116.44,72
Qingdao,75,CN,1562898195,84.99,4.47,36.09,120.35,74
Monte Patria,0,CL,1562898195,45.71,1.16,-30.69,-70.96,88
Paris,0,FR,1562898065,64.99,6.93,48.86,2.35,63
Okha,93,RU,1562898196,59.01,7.09,53.59,142.95,77
Natal,20,BR,1562898196,73.4,5.82,-5.81,-35.21,88
Xingyi,100,CN,1562898196,66.98,6.98,24.19,102.82,83
Oistins,40,BB,1562898196,82.4,16.11,13.07,-59.53,74
Port-Cartier,90,CA,1562898197,55.99,5.82,50.03,-66.88,76
Fukue,75,JP,1562898197,82,3.36,35.03,136.69,78
Ziarat,0,PK,1562898197,76.32,3.44,30.38,67.73,22
Charters Towers,0,AU,1562898197,73.07,9.53,-20.07,146.27,36
Nome,1,US,1562898197,87.01,5.55,30.04,-94.42,100
Dengzhou,100,CN,1562898198,72.18,5.68,32.69,112.08,85
Auka,89,HN,1562898198,76.2,4.23,14.93,-83.83,94
Antsirabe,11,MG,1562898198,43.46,2.95,-19.87,47.03,96
Ulladulla,75,AU,1562898198,61,18.34,-35.36,150.48,48
Stilling,100,DK,1562898199,60.8,2.24,56.06,9.99,93
Chiang Rai,20,TH,1562898199,84,5.82,19.9,99.84,78
Nhulunbuy,75,AU,1562898199,78.8,9.17,-12.18,136.78,69
Botshabelo,0,ZA,1562898199,32,1.12,-29.23,26.73,62
Vila Franca do Campo,20,PT,1562898200,68,4.7,37.72,-25.43,88
Kurilsk,100,RU,1562898200,53,8.88,45.23,147.88,86
Katobu,0,ID,1562898200,82.44,7.83,-4.94,122.53,65
Kenai,75,US,1562897918,63,6.93,60.55,-151.26,77
Abai,0,KZ,1562898200,82.4,6.93,41.35,68.95,34
Tha Mai,20,TH,1562898201,97,2.24,12.62,102.01,83
Lazaro Cardenas,75,MX,1562898201,86,9.17,28.39,-105.62,28
Harper,1,US,1562898201,88,6.31,30.3,-99.24,65
Gladstone,0,AU,1562898201,82.99,5.82,-23.84,151.26,29
Athabasca,0,CA,1562898156,61.08,5.1,54.72,-113.29,88
Viedma,12,AR,1562898202,45.11,3.31,-40.81,-62.99,75
Mikuni,75,JP,1562898202,77,11.41,36.22,136.15,73
Ejido,98,VE,1562898202,65.36,5.48,8.55,-71.24,79
Erenhot,93,CN,1562898202,79.46,5.08,43.65,111.97,30
Stykkisholmur,98,IS,1562898203,49.77,0.36,65.08,-22.73,89
Road Town,20,VG,1562898203,82.4,8.05,18.42,-64.62,69
Levelek,90,HU,1562898203,46.4,2.24,47.97,21.99,100
Kulhudhuffushi,100,MV,1562898203,83.29,8.1,6.62,73.07,74
Henties Bay,0,NA,1562898204,52,4,-22.12,14.28,96
Damietta,0,EG,1562898204,80.6,3.36,31.42,31.81,88
Sur,88,OM,1562898204,87.03,11.34,22.57,59.53,45
Salinas,1,US,1562897929,80.6,11.41,36.67,-121.66,64
